iter	RMSE
0	2235.618418
1	2173.441502
2	2108.548714
3	2051.861917
4	1995.170053
5	1938.977212
6	1883.253389
7	1833.564462
8	1780.997054
9	1733.603097
10	1689.394759
11	1640.314399
12	1598.541712
13	1560.097244
14	1517.548607
15	1475.975257
16	1442.921939
17	1406.476794
18	1368.041725
19	1335.343985
20	1297.109134
21	1260.798876
22	1227.578523
23	1197.424534
24	1166.302604
25	1137.072168
26	1111.20393
27	1085.011953
28	1057.176489
29	1033.403172
30	1014.451087
31	990.5363565
32	966.5664731
33	942.1844572
34	919.9953229
35	901.1203277
36	883.0886181
37	862.3058307
38	842.3525308
39	823.1052469
40	804.6347581
41	788.8832842
42	769.9351998
43	751.159135
44	735.1647328
45	718.6032624
46	701.7167118
47	687.4833167
48	674.5327053
49	663.2985883
50	650.3306327
51	635.3618474
52	624.5677676
53	611.6735674
54	598.9068738
55	586.7029942
56	575.0867358
57	563.9537956
58	553.0758063
59	542.390617
60	531.8236286
61	521.5321611
62	511.9925349
63	503.63762
64	495.0006906
65	485.6325301
66	476.4456189
67	467.5473424
68	460.4096028
69	452.7512767
70	445.0926666
71	437.2637505
72	430.3045205
73	422.9954794
74	416.6478117
75	410.8862521
76	404.8571737
77	399.066437
78	393.137537
79	387.9582131
80	381.7301908
81	376.3649742
82	371.2652145
83	366.3116558
84	360.6535153
85	356.4787236
86	350.7035698
87	345.9972769
88	341.2961962
89	336.475661
90	331.6640538
91	327.5621014
92	323.8402505
93	319.9635042
94	316.6721922
95	312.5265074
96	308.5629981
97	305.0417193
98	301.0444565
99	297.5348904
100	294.5490294
101	291.9710102
102	289.032325
103	285.2583113
104	282.7450684
105	279.9398224
106	277.6589941
107	275.564372
108	273.2537063
109	271.1879215
110	269.2974003
111	266.7519867
112	264.7724453
113	262.5289471
114	260.4350273
115	258.0087744
116	255.7271616
117	253.6882235
118	251.8893719
119	249.4946033
120	247.1984459
121	245.2048861
122	243.4012563
123	241.9129344
124	239.9667292
125	237.8382863
126	236.4788214
127	234.6643437
128	233.1543103
129	231.992669
130	230.7109568
131	229.5180788
132	227.9999848
133	226.611754
134	225.1365452
135	223.761315
136	222.4736656
137	221.4397288
138	220.8314756
139	219.5296367
140	218.1598159
141	217.1966251
142	215.8196737
143	214.7425766
144	213.6828307
145	212.4479175
146	211.3969748
147	210.3940456
148	209.1892632
149	208.0637369
150	207.1182702
151	206.2917618
152	205.3585735
153	204.4887413
154	203.7279028
155	203.1987842
156	202.4707113
157	201.7338657
158	200.7431127
159	199.8556225
160	199.3219333
161	198.3905533
162	197.7350569
163	196.8084941
164	195.9749006
165	194.9754201
166	194.1039684
167	193.302488
168	192.6283571
169	191.6944679
170	191.0885756
171	190.4472656
172	189.7967939
173	188.8583531
174	188.2047003
175	187.6640589
176	186.8474631
177	186.1679811
178	185.5534288
179	184.7599924
180	183.9828611
181	183.5095355
182	183.0402996
183	182.5791057
184	182.0217203
185	181.4204852
186	180.619903
187	179.7895911
188	179.166932
189	178.3086741
190	177.5568536
191	176.9706888
192	176.3936713
193	175.8461452
194	175.195357
195	174.3046517
196	173.5337915
197	172.830306
198	172.263328
199	171.8311157
200	171.4784657
201	171.0922158
202	170.5028948
203	169.9045117
204	169.3501233
205	168.668514
206	168.1218656
207	167.3600594
208	166.8151837
209	166.4001412
210	165.8675743
211	165.2806328
212	164.616988
213	164.0782937
214	163.6237249
215	162.9800595
216	162.4840575
217	162.0967194
218	161.6505631
219	130.1410726
220	129.6104243
221	129.207623
222	128.5768749
223	128.0008239
224	127.3652132
225	126.9831596
226	126.299947
227	125.9835824
228	125.5409813
229	125.1632308
230	124.552955
231	123.9856004
232	123.5266918
233	123.0158989
234	122.4969112
235	122.0449815
236	121.5612636
237	121.129276
238	120.9125749
239	120.5270717
240	120.1026094
241	119.6719203
242	119.2386299
243	118.6971294
244	118.3332779
245	117.9164693
246	117.5010798
247	117.1795668
248	116.929527
249	116.7026984
250	116.3260653
251	116.0160821
252	115.7562216
253	115.4428441
254	115.0748611
255	114.8040634
256	114.5688726
257	114.2701812
258	113.9269699
259	113.5274087
260	113.1098228
261	112.94259
262	112.7612101
263	112.4350467
264	112.2635238
265	112.0629243
266	111.6732865
267	111.3293526
268	110.9550485
269	110.7697815
270	110.4090598
271	110.0727644
272	109.7928149
273	109.6484712
274	109.4905014
275	108.9969441
276	108.6028722
277	108.3699002
278	108.2883283
279	108.0259783
280	107.6125588
281	107.4262178
282	107.125982
283	106.7968274
284	106.5785309
285	106.2110615
286	105.9458346
287	105.7411226
288	105.4584179
289	105.0884548
290	104.8016642
291	104.5377336
292	104.1908038
293	103.9378599
294	103.7391022
295	103.5407274
296	103.290476
297	103.1851673
298	103.0710232
299	102.8000978
300	102.3934652
301	102.2854056
302	102.1509788
303	101.8269266
304	101.5519134
305	101.2296937
306	100.9497452
307	100.6551297
308	100.3289566
309	100.2278951
310	100.0384025
311	99.98002636
312	99.66557879
313	99.47976721
314	99.42409875
315	99.27036245
316	98.95829944
317	98.68290024
318	98.41461225
319	98.26019824
320	98.11292357
321	98.01404419
322	97.76356763
323	97.58509768
324	97.3083091
325	97.09559225
326	96.8709401
327	96.52672576
328	96.42936465
329	96.20978835
330	96.00356944
331	95.61749605
332	95.38250035
333	95.05063158
334	94.79681412
335	94.65723839
336	94.43840402
337	94.17183702
338	94.00758262
339	93.85775071
340	93.78010972
341	93.58205066
342	93.31158094
343	93.00533449
344	92.83699255
345	92.60893666
346	92.37955826
347	92.19502929
348	91.99400441
349	91.81728219
350	91.72770832
351	91.57054823
352	91.22416703
353	91.14652998
354	90.88642317
355	90.60803147
356	90.40417206
357	90.32431057
358	90.17564531
359	89.98665447
360	89.71823776
361	89.46711665
362	89.29696628
363	89.15244612
364	88.94725815
365	88.7170276
366	88.59676509
367	88.5253536
368	88.28152099
369	88.11199223
370	87.87193192
371	87.61668671
372	87.4903106
373	87.29049868
374	87.2233677
375	86.87189947
376	86.79847933
377	86.73369224
378	86.597003
379	86.39282668
380	86.11098404
381	85.96480235
382	85.81351332
383	85.5475078
384	85.20001606
385	85.10113827
386	84.87792386
387	84.64758464
388	84.61342518
389	84.43754925
390	84.20409698
391	83.94211821
392	83.85443907
393	83.58254165
394	83.44085439
395	83.16371793
396	82.98058871
397	82.94835861
398	82.64192728
399	82.50473084
400	82.29466274
401	82.16159418
402	82.11171882
403	81.87527004
404	81.8442638
405	81.81721909
406	81.79036485
407	81.51477867
408	81.31878803
409	81.13151775
410	80.98443911
411	80.7093421
412	80.45888954
413	80.28822492
414	80.19515994
415	80.1675565
416	79.92943816
417	79.84693792
418	79.63366827
419	79.53597648
420	79.32578654
421	79.30410781
422	79.11166602
423	79.02007409
424	78.99892857
425	78.76248749
426	78.54909037
427	78.44461681
428	78.24889806
429	78.01912904
430	77.88193355
431	77.8189258
432	77.6451158
433	77.55939013
434	77.3477067
435	77.23850411
436	77.12140539
437	77.00023444
438	76.81718592
439	76.74755866
440	76.59827581
441	76.41928414
442	76.29495498
443	76.14724065
444	76.02017115
445	75.89835984
446	75.76352716
447	75.59369976
448	75.45200691
449	75.30716962
450	75.18395504
451	75.06176579
452	74.92249467
453	74.80519381
454	74.69404796
455	74.57527489
456	74.42564428
457	74.26376924
458	74.12590175
459	73.98828822
460	73.90959898
461	73.73218675
462	73.60008753
463	73.49473347
464	73.41331515
465	73.28846172
466	73.13502759
467	73.01501009
468	72.87478552
469	72.69931244
470	72.54812812
471	72.36942087
472	72.28504269
