iter	Passed	Remaining
0	206	206025
1	229	114353
2	238	79311
3	243	60624
4	265	52863
5	268	44561
6	279	39676
7	301	37365
8	330	36402
9	334	33108
10	339	30542
11	344	28323
12	349	26549
13	354	24932
14	359	23637
15	365	22504
16	370	21403
17	375	20511
18	384	19872
19	398	19510
20	404	18842
21	410	18227
22	417	17718
23	427	17398
24	435	16977
25	438	16414
26	440	15882
27	443	15387
28	445	14910
29	447	14464
30	449	14040
31	451	13650
32	453	13290
33	456	12971
34	458	12651
35	461	12353
36	463	12055
37	465	11772
38	467	11507
39	468	11254
40	470	11016
41	473	10792
42	475	10585
43	477	10380
44	480	10203
45	483	10031
46	485	9851
47	487	9675
48	489	9500
49	491	9340
50	493	9188
51	495	9035
52	497	8889
53	499	8756
54	503	8657
55	507	8561
56	510	8453
57	515	8379
58	518	8272
59	523	8199
60	527	8125
61	531	8035
62	535	7965
63	543	7949
64	549	7899
65	553	7832
66	556	7752
67	564	7740
68	569	7679
69	575	7650
70	582	7624
71	586	7562
72	593	7535
73	597	7479
74	602	7425
75	608	7401
76	611	7333
77	617	7304
78	625	7294
79	631	7265
80	635	7213
81	639	7160
82	643	7110
83	646	7047
84	649	6994
85	652	6934
86	657	6895
87	661	6855
88	665	6813
89	668	6758
90	672	6720
91	676	6674
92	680	6634
93	684	6593
94	687	6548
95	690	6500
96	693	6456
97	696	6407
98	699	6364
99	703	6329
100	706	6287
101	710	6253
102	714	6223
103	717	6177
104	719	6132
105	723	6104
106	726	6063
107	730	6030
108	732	5985
109	734	5942
110	738	5917
111	742	5887
112	746	5858
113	750	5836
114	755	5816
115	760	5798
116	764	5771
117	769	5748
118	772	5719
119	777	5702
120	780	5672
121	784	5647
122	789	5628
123	792	5598
124	796	5575
125	799	5547
126	803	5522
127	807	5499
128	810	5470
129	814	5447
130	821	5452
131	828	5446
132	831	5423
133	834	5395
134	839	5379
135	844	5365
136	851	5360
137	854	5336
138	862	5343
139	868	5335
140	872	5314
141	875	5292
142	880	5277
143	884	5256
144	888	5238
145	891	5216
146	894	5192
147	897	5168
148	901	5147
149	903	5122
150	907	5101
151	911	5085
152	916	5074
153	923	5075
154	928	5063
155	932	5043
156	935	5025
157	939	5004
158	942	4983
159	947	4974
160	952	4961
161	954	4937
162	959	4924
163	962	4906
164	966	4889
165	970	4877
166	974	4858
167	977	4840
168	981	4824
169	984	4807
170	988	4792
171	991	4772
172	994	4753
173	998	4737
174	1002	4727
175	1006	4710
176	1009	4696
177	1012	4676
178	1015	4657
179	1018	4639
180	1025	4641
181	1028	4622
182	1030	4601
183	1035	4591
184	1040	4582
185	1046	4578
186	1050	4568
187	1053	4552
188	1058	4543
189	1065	4542
190	1067	4523
191	1070	4504
192	1073	4488
193	1075	4468
194	1077	4450
195	1083	4443
196	1088	4436
197	1091	4421
198	1094	4404
199	1098	4394
200	1102	4382
201	1106	4370
202	1110	4361
203	1114	4348
204	1117	4334
205	1121	4321
206	1123	4304
207	1128	4295
208	1133	4288
209	1137	4277
210	1152	4307
211	1193	4436
212	1197	4425
213	1201	4412
214	1214	4433
215	1227	4453
216	1251	4516
217	1266	4544
218	1269	4527
219	1272	4511
220	1275	4496
221	1277	4478
220	1378	4858
221	1380	4838
222	1397	4869
223	1404	4864
224	1453	5006
225	1461	5005
226	1482	5047
227	1491	5051
228	1501	5053
229	1506	5042
230	1509	5026
231	1514	5012
232	1520	5003
233	1532	5015
234	1543	5024
235	1546	5007
236	1550	4992
237	1559	4992
238	1572	5005
239	1582	5009
240	1586	4995
241	1590	4982
242	1595	4969
243	1599	4955
244	1602	4937
245	1608	4928
246	1611	4913
247	1615	4898
248	1618	4880
249	1621	4863
250	1624	4847
251	1629	4836
252	1635	4828
253	1637	4810
254	1642	4797
255	1648	4790
256	1654	4782
257	1663	4784
258	1666	4769
259	1671	4757
260	1678	4752
261	1682	4738
